"(None, 1, 0)","(3, 81, 48)","(29, 60, 81)"
"(None, 1, 0)","(13, 80, 71)","(34, 60, 215)"
"(None, 1, 0)","(3, 21, 104)","(6, 60, 221)"
"(None, 1, 0)","(3, 21, 104)","(35, 60, 221)"
"(None, 1, 0)","(64, 22, 113)","(2, 60, 227)"
"(None, 1, 0)","(3, 42, 174)","(50, 60, 347)"
"(None, 1, 0)","(3, 81, 48)","(81, 60, 390)"
"(None, 1, 0)","(99, 22, 360)","(2, 60, 474)"
"(None, 1, 0)","(64, 90, 151)","(34, 60, 503)"
"(None, 1, 0)","(73, 40, 320)","(50, 60, 503)"
"(None, 1, 0)","(28, 97, 459)","(35, 60, 531)"
"(None, 1, 0)","(3, 41, 289)","(3, 42, 404)","(50, 60, 577)"
"(None, 1, 0)","(3, 89, 455)","(29, 60, 605)"
"(None, 1, 0)","(32, 89, 487)","(29, 60, 637)"
"(None, 1, 0)","(32, 79, 99)","(88, 60, 648)"
"(None, 1, 0)","(64, 22, 113)","(50, 60, 684)"
"(None, 1, 0)","(40, 75, 84)","(24, 60, 720)"
"(None, 1, 0)","(64, 49, 408)","(35, 60, 725)"
"(None, 1, 0)","(3, 50, 269)","(6, 60, 755)"
"(None, 1, 0)","(3, 44, 340)","(88, 60, 761)"
"(None, 1, 0)","(28, 34, 145)","(6, 60, 763)"
"(None, 1, 0)","(64, 50, 279)","(6, 60, 765)"
"(None, 1, 0)","(40, 91, 225)","(88, 60, 803)"
"(None, 1, 0)","(13, 7, 388)","(35, 60, 872)"
"(None, 1, 0)","(3, 42, 174)","(34, 60, 884)"
"(None, 1, 0)","(99, 22, 360)","(50, 60, 931)"
"(None, 1, 0)","(13, 75, 346)","(24, 60, 982)"
"(None, 1, 0)","(99, 78, 586)","(24, 60, 1019)"
"(None, 1, 0)","(28, 49, 704)","(35, 60, 1021)"
"(None, 1, 0)","(3, 41, 289)","(3, 42, 404)","(34, 60, 1114)"
"(None, 1, 0)","(99, 90, 815)","(34, 60, 1167)"
"(None, 1, 0)","(13, 7, 388)","(34, 60, 1196)"
"(None, 1, 0)","(64, 75, 600)","(24, 60, 1236)"
"(None, 1, 0)","(32, 67, 663)","(34, 60, 1792)"
"(None, 1, 0)","(32, 48, 795)","(24, 60, 1823)"
"(None, 1, 0)","(99, 54, 1068)","(2, 60, 1850)"
